# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-03 data, 87.csv
#
band,species,"Beak length, mm","Beak depth, mm"
5110,fortis,14.07,12.37
3597,fortis,13.03,12.7
15718,scandens,10.75,7.77
5594,scandens,13.73,7.94
15235,scandens,14.04,7.96
15252,scandens,12.5,8
15847,scandens,12.64,8.01
15139,scandens,12.66,8.23
15237,scandens,13,8.3
4045,scandens,13.15,8.36
8443,scandens,13.96,8.37
15798,scandens,13.15,8.4
14786,scandens,13.7,8.4
364,scandens,14,8.4
10001,scandens,13.43,8.41
15119,scandens,14,8.5
15676,scandens,14.9,8.5
15476,scandens,13.6,8.6
14576,scandens,13.8,8.6
15419,scandens,14.9,8.6
15635,scandens,13.94,8.61
2733,scandens,14.81,8.67
15751,scandens,12.5,8.7
14834,scandens,13.75,8.7
4109,scandens,14,8.7
15901,scandens,14.5,8.7
14830,scandens,14.7,8.7
15086,scandens,14.05,8.72
15986,scandens,14.17,8.72
4223,scandens,15.07,8.77
15725,scandens,11.5,8.8
13554,scandens,13.5,8.8
15407,scandens,13.87,8.8
3425,scandens,14.9,8.8
15704,scandens,12.34,8.81
15102,scandens,14.34,8.81
5582,scandens,15.07,8.87
15121,scandens,14.01,8.88
10770,scandens,12.86,8.89
14755,scandens,13.6,8.9
13555,scandens,13.8,8.9
15765,scandens,13.85,8.9
15243,scandens,13.9,8.9
8441,scandens,14.1,8.9
10067,scandens,14.1,8.9
15406,scandens,14.2,8.9
15234,scandens,14.3,8.9
15608,scandens,14.9,8.9
14758,scandens,13.84,8.91
14835,scandens,14.09,8.91
15882,scandens,14.05,8.92
14787,scandens,14.15,8.93
14727,scandens,14.25,8.93
5351,scandens,13.6,8.95
15859,scandens,14.57,8.95
15721,scandens,11.89,8.96
5663,scandens,13.8,8.97
2543,scandens,14.21,8.97
5013,scandens,14.76,8.99
10394,scandens,12.07,9
17548,scandens,13.9,9
14647,scandens,14.1,9
13548,scandens,14.3,9
5345,scandens,14.95,9
15760,scandens,14.34,9.01
15685,scandens,13.84,9.02
14731,scandens,14.04,9.02
14906,scandens,14.14,9.02
15330,scandens,12.56,9.03
4577,scandens,15.14,9.04
4744,scandens,14.35,9.05
10984,scandens,14.85,9.05
14759,scandens,14.04,9.06
15639,scandens,14.2,9.1
15090,scandens,14.3,9.1
4221,scandens,14.5,9.1
15422,scandens,14.5,9.1
15441,scandens,14.6,9.1
15736,scandens,15,9.1
4683,scandens,13.6,9.13
14768,scandens,14.65,9.13
5375,scandens,14.03,9.14
14843,scandens,14.16,9.18
2554,scandens,13.83,9.2
14995,scandens,14.2,9.2
15638,scandens,14.35,9.2
15837,scandens,14.45,9.2
10002,scandens,14.64,9.21
14584,scandens,15.04,9.21
14730,scandens,13.9,9.22
3458,scandens,14.34,9.24
5911,scandens,14.53,9.24
2760,scandens,14.2,9.25
15812,scandens,14.85,9.25
5367,scandens,15.1,9.25
10174,scandens,15.2,9.25
1645,scandens,13.5,9.26
4090,scandens,14.95,9.26
