# The data come from Markus Meister's group from Dawna Bagherian and Kyu Lee, two grad students. They put electrodes in the retinal cells of a mouse and measured voltage. From the time trace of voltage, they can detect and characterize spiking events.
t (ms),V (uV)
754.6,-0.1
754.64,8.54
754.68,13.13
754.72,3.23
754.76,4.48
754.8,22.92
754.84,0.42
754.88,-7.81
754.92,13.54
754.96,0.63
755.0,-4.79
755.04,3.85
755.08,-5.63
755.12,-10.94
755.16,8.44
755.2,1.88
755.24,-2.29
755.28,10.21
755.32,-3.65
755.36,-6.56
755.4,10.31
755.44,7.81
755.48,-7.08
755.52,4.27
755.56,11.98
755.6,-2.08
755.64,-2.71
755.68,-3.33
755.72,-6.88
755.76,-2.71
755.8,16.46
755.84,-0.31
755.88,-7.4
755.92,0.0
755.96,-10.83
756.0,-13.96
756.04,11.46
756.08,-5.63
756.12,-5.42
756.16,7.19
756.2,0.94
756.24,1.56
756.28,20.31
756.32,13.54
756.36,5.0
756.4,15.1
756.44,5.21
756.48,1.46
756.52,15.52
756.56,19.17
756.6,7.5
756.64,12.29
756.68,18.02
756.72,0.21
756.76,-2.92
756.8,3.96
756.84,-9.69
756.88,-16.15
756.92,8.13
756.96,-5.83
757.0,-13.13
757.04,15.0
757.08,1.56
757.12,-0.63
757.16,6.46
757.2,-3.65
757.24,-10.21
757.28,6.77
757.32,3.13
757.36,-2.19
757.4,14.27
757.44,7.92
757.48,-1.15
757.52,7.5
757.56,13.13
757.6,1.15
757.64,8.96
757.68,13.44
757.72,-3.13
757.76,2.5
757.8,8.85
757.84,1.15
757.88,1.56
757.92,25.1
757.96,11.56
758.0,5.52
758.04,16.88
758.08,8.54
758.12,2.81
758.16,29.9
758.2,13.96
758.24,2.19
758.28,14.17
758.32,6.88
758.36,-1.04
758.4,10.73
758.44,12.6
758.48,7.08
758.52,15.31
758.56,22.19
758.6,8.75
758.64,7.08
758.68,1.46
758.72,-0.31
758.76,4.06
758.8,21.35
758.84,9.69
758.88,2.92
758.92,9.9
758.96,-2.4
759.0,-8.54
759.04,18.44
759.08,9.27
759.12,-0.94
759.16,19.17
759.2,6.77
759.24,-3.85
759.28,9.27
759.32,-3.23
759.36,-11.15
759.4,6.56
759.44,12.6
759.48,4.9
759.52,15.73
759.56,19.17
759.6,0.94
759.64,4.38
759.68,6.98
759.72,2.29
759.76,2.19
759.8,17.08
759.84,0.63
759.88,-8.75
759.92,-4.17
759.96,-6.46
760.0,-9.69
760.04,14.17
760.08,2.08
760.12,1.04
760.16,8.54
760.2,-4.06
760.24,-10.73
760.28,8.85
760.32,1.88
760.36,-8.85
760.4,2.92
760.44,-2.4
760.48,-6.77
760.52,5.94
760.56,15.0
760.6,0.52
760.64,2.4
760.68,11.98
760.72,3.23
760.76,1.77
760.8,7.08
760.84,0.63
760.88,-1.88
760.92,18.85
760.96,1.77
761.0,-9.9
761.04,16.77
761.08,6.67
761.12,0.21
761.16,15.83
761.2,5.94
761.24,-2.08
761.28,15.83
761.32,11.67
761.36,3.85
761.4,12.29
761.44,4.48
761.48,2.5
761.52,10.73
761.56,12.5
761.6,-1.56
761.64,6.46
761.68,15.0
761.72,-8.44
761.76,-8.02
761.8,-1.25
761.84,-6.56
761.88,-9.69
761.92,15.52
761.96,0.83
762.0,-6.56
762.04,3.13
762.08,-5.1
762.12,-8.23
762.16,12.81
762.2,0.73
762.24,-5.21
762.28,13.33
762.32,1.25
762.36,-4.06
762.4,10.21
762.44,3.44
762.48,-10.21
762.52,4.06
762.56,13.23
762.6,6.15
762.64,5.31
762.68,9.48
762.72,5.0
762.76,0.31
762.8,14.48
762.84,0.0
762.88,-7.5
762.92,-0.83
762.96,-5.42
763.0,-11.04
763.04,11.67
763.08,-8.65
763.12,-7.71
763.16,13.13
763.2,-3.85
763.24,-13.02
763.28,1.77
763.32,-4.48
763.36,-14.17
763.4,4.58
763.44,7.92
763.48,-8.33
763.52,-1.56
763.56,9.48
763.6,-5.94
763.64,4.9
763.68,3.65
763.72,-1.56
763.76,-3.75
763.8,12.29
763.84,-5.31
763.88,-11.88
763.92,-2.08
763.96,-6.77
764.0,-3.13
764.04,20.94
764.08,2.71
764.12,-7.29
764.16,2.08
764.2,-11.77
764.24,-14.9
764.28,5.1
764.32,9.06
764.36,-2.5
764.4,6.88
764.44,-3.85
764.48,-9.9
764.52,0.52
764.56,1.77
764.6,-11.77
764.64,-4.69
764.68,8.96
764.72,-2.71
764.76,-2.81
764.8,2.92
764.84,-3.33
764.88,-6.35
764.92,20.83
764.96,-0.31
765.0,-7.71
765.04,3.75
765.08,-7.19
765.12,-10.63
765.16,15.83
765.2,7.08
765.24,-6.46
765.28,13.33
765.32,10.1
765.36,0.31
765.4,11.35
765.44,3.65
765.48,3.54
765.52,13.54
765.56,16.15
765.6,2.81
765.64,6.46
765.68,17.81
765.72,1.88
765.76,-8.13
765.8,-11.88
765.84,-21.88
765.88,-19.69
765.92,2.6
765.96,-3.33
766.0,-6.04
766.04,2.71
766.08,-5.31
766.12,-14.17
766.16,5.0
766.2,-5.21
766.24,-12.19
766.28,4.58
766.32,-8.44
766.36,-13.33
766.4,5.63
766.44,11.15
766.48,-3.33
766.52,3.65
766.56,15.0
766.6,4.27
766.64,1.56
766.68,-2.19
766.72,-6.04
766.76,-4.79
766.8,12.92
766.84,1.04
766.88,-4.69
766.92,4.79
766.96,-4.38
767.0,-12.4
767.04,15.21
767.08,6.25
767.12,-4.58
767.16,17.19
767.2,6.46
767.24,-0.52
767.28,6.35
767.32,-15.73
767.36,-15.1
767.4,-0.63
767.44,0.1
767.48,-13.33
767.52,-0.73
767.56,8.02
767.6,-2.71
767.64,4.79
767.68,0.73
767.72,-5.52
767.76,0.21
767.8,8.44
767.84,1.56
767.88,-5.83
767.92,-0.31
767.96,-2.92
768.0,-1.35
768.04,25.52
768.08,6.56
768.12,-3.23
768.16,5.94
768.2,-7.19
768.24,-9.48
768.28,9.9
768.32,8.65
