# Data taken from the book
#   Grant, PR, Grant, BR (2014) 40 years of evolution:
#   Darwin's finches on Daphne Major Island.
#   Princeton: Princeton University Press.
#
# Accessed throug the Dryad data package:
#   Grant PR, Grant BR(2014) Data from: 40 years of evolution.
#   Darwin's finches on Daphne Major Island. Dryad Digital Repository.
#   http://dx.doi.org/10.5061/dryad.g6g3h
#
# The data appear as in the original file
#        Fig. 10-03 data, 91.csv
#
band,species,blength,bdepth
16583,fortis,10.3,8.5
16590,fortis,9.6,7.7
16594,fortis,11.5,9.9
16595,fortis,11.9,10.3
16596,fortis,11.8,10.5
16597,fortis,10.1,8.8
16598,fortis,9.9,8.8
16803,fortis,12.1,9.85
16805,fortis,11.3,9.5
16807,fortis,9.7,7.5
16808,fortis,11.15,9.45
16810,fortis,10.65,9.1
16811,fortis,9.9,7.5
16815,fortis,10.3,8.9
16816,fortis,11.4,9.8
16817,fortis,11.7,9.7
16818,fortis,11.3,10.1
16833,fortis,11.8,9.4
16834,fortis,11.55,9
16836,fortis,12.3,9.9
16840,fortis,10.9,9
16851,fortis,10.3,8.6
16858,fortis,11.5,9.4
16859,fortis,10.4,8.65
16861,fortis,10.1,8.7
16869,fortis,11.75,9.65
16875,fortis,10.1,8.1
16889,fortis,9.55,7.8
16891,fortis,9.7,8
16895,fortis,10,8.3
17010,fortis,11.3,8.9
17013,fortis,11,9.3
17014,fortis,10,8.2
17033,fortis,10.6,9.3
17037,fortis,10.77,9.03
17048,fortis,10,8.3
17057,fortis,12.3,10.1
17061,fortis,10.7,10
17063,fortis,9.85,8.6
17067,fortis,10.8,9.1
17070,fortis,10.6,9.2
17073,fortis,10.6,8.53
17075,fortis,10.7,9
17083,fortis,10.4,9.6
17095,fortis,10.7,8.9
17109,fortis,10,9
17111,fortis,9.7,8.7
17113,fortis,9.7,8.6
17114,fortis,10.5,8.6
17116,fortis,10.7,9.3
17136,fortis,11,9.1
17145,fortis,11,9.9
17160,fortis,10.9,9.3
17168,fortis,10.7,8.3
17179,fortis,9.73,8.37
17188,fortis,9,7.9
17301,fortis,9.4,9.2
17307,fortis,8.8,8
17310,fortis,8.9,7.9
17311,fortis,10.8,8.7
17315,fortis,11.3,9
17344,fortis,10.6,9.6
17360,fortis,11.1,9.8
17367,fortis,12,10.2
17369,fortis,13,11.2
17379,fortis,10.6,8.6
17380,fortis,11.85,9.2
17381,fortis,10.9,8.5
17384,fortis,11.5,10.3
17386,fortis,11.1,9.9
17388,fortis,11.9,10.2
17395,fortis,11.7,10
17403,fortis,9.7,8
17410,fortis,11.8,10.4
17411,fortis,10,9.1
17415,fortis,10.13,8.7
17416,fortis,10.7,9.1
17418,fortis,10.8,8.9
17419,fortis,10.6,9
17436,fortis,10.7,8.3
17439,fortis,11.4,9.7
17440,fortis,11.1,9.2
17443,fortis,11,8.8
17460,fortis,11.47,10
17461,fortis,10.2,9
17464,fortis,11,9.7
17466,fortis,10.6,9.6
17467,fortis,11.7,9.5
17468,fortis,10.7,8.8
17480,fortis,9.8,7.5
17483,fortis,10.1,7.8
17485,fortis,10.9,9
17490,fortis,10.7,9.9
17491,fortis,10.6,8.9
17493,fortis,11.6,10.5
17494,fortis,11.9,10.7
17496,fortis,12.4,10
17497,fortis,11,9
17498,fortis,10.6,9.7
17500,fortis,10,8.9
17503,fortis,9.8,7.9
17534,fortis,10.15,8.95
17551,fortis,9.3,7.7
17559,fortis,11.8,9.8
17568,fortis,10.8,8.9
17573,fortis,9.9,9
17583,fortis,9.9,8.4
17589,fortis,11.5,10.4
17603,fortis,10.5,9.17
17605,fortis,11.2,9.1
17615,fortis,12.4,9.4
17617,fortis,10.1,8.2
17618,fortis,10.85,8.1
17634,fortis,10.75,8.85
17638,fortis,8.9,6.9
17639,fortis,10,8.9
17641,fortis,11.2,9.5
17643,fortis,11,8.7
17646,fortis,12.3,9.9
17647,fortis,11.6,10.2
17648,fortis,11.1,9.4
17649,fortis,11.7,10.6
17653,fortis,11,8.4
17654,fortis,10.8,8.6
17656,fortis,9.5,8.2
17659,fortis,10.8,8.8
17664,fortis,10.5,9.2
17665,fortis,9.5,8.1
17666,fortis,11.7,10.5
17668,fortis,11,9.5
17677,fortis,10.6,9
17693,fortis,10.5,8.8
17696,fortis,11.1,10.1
17697,fortis,10.9,9.6
17698,fortis,10.7,9.6
17699,fortis,10.8,9.5
17717,fortis,11.55,9.65
17733,fortis,10.7,9.4
17734,fortis,11.3,10
17735,fortis,10.6,8.8
17738,fortis,10.4,9.9
17740,fortis,10.7,8.7
17754,fortis,9.8,9
17759,fortis,11.6,9.7
17768,fortis,10.1,8.4
17771,fortis,11.7,9.8
17786,fortis,11.7,9.6
17791,fortis,10.8,9.8
17797,fortis,10.3,8.5
17798,fortis,10.65,8.85
17800,fortis,10.8,8.9
17803,fortis,10.7,9.2
17907,fortis,10.7,9
17908,fortis,10.2,8.8
17916,fortis,9.7,7.4
17934,fortis,10.4,8.7
17936,fortis,11.5,9
17940,fortis,11.1,9.8
17954,fortis,10.3,9.2
17955,fortis,11.5,10
17964,fortis,10.9,9.5
17969,fortis,9.9,8.8
17971,fortis,10.8,8.8
17974,fortis,10.1,9
17983,fortis,10.9,9
17986,fortis,11.2,9
17991,fortis,12.7,10.65
17993,fortis,11.8,10.5
17999,fortis,11.5,9.5
2760,scandens,14.2,9.25
3425,scandens,14.9,8.8
4090,scandens,14.95,9.26
4137,scandens,15.8,10
4223,scandens,15.07,8.77
4683,scandens,13.6,9.13
4706,scandens,14.8,9.5
4778,scandens,13.7,9.3
5351,scandens,13.6,8.95
5582,scandens,15.07,8.87
5608,scandens,15.8,9.7
5656,scandens,14.9,9.7
10001,scandens,13.43,8.41
10002,scandens,14.64,9.21
10061,scandens,15.2,9.6
10105,scandens,14.9,9.4
10174,scandens,15.2,9.25
10206,scandens,13.43,9.3
10223,scandens,15.2,9.8
10268,scandens,14.53,9.43
10394,scandens,12.07,9
